ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
350462,1998KG3,1.160326679,0.118226463,5.505183934,22.1,NaN,NaN,NaN,-0.002668,0.00041,13.335,NaN,7,A,6.507317073
364136,2006CJ,0.676533865,0.754882522,10.23224315,20.2,NaN,NaN,NaN,-0.003499,0.000542,NaN,NaN,NaN,B,6.455719557
3361,Orpheus,1.209662179,0.322751829,2.685064208,19.03,NaN,0.3,NaN,0.000774,0.00012,3.5327,NaN,8,A,6.45
499998,2011PT,1.31235352,0.214719064,2.212869727,23.9,NaN,NaN,NaN,-0.00913,0.001444,0.17,0.05,NaN,B,6.322714681
138404,2000HA24,1.138952829,0.318673,2.164961306,19.1,NaN,NaN,NaN,0.001995,0.000317,3.9077,NaN,8,B,6.293375394
0,2006CT,1.096886279,0.230722687,2.741533102,22.2,NaN,NaN,NaN,-0.004814,0.000774,16.69,NaN,6,B,6.219638243
499998,2011PT,1.31235352,0.214719064,2.212869727,23.9,NaN,NaN,NaN,-0.008844,0.00146,0.17,0.05,NaN,A,6.057534247
3908,Nyx,1.927872799,0.458993586,2.185572808,17.3,NaN,1,0.15,0.000986,0.000163,4.42601,NaN,8,B,6.049079755
NaN,2001QE96,1.310756939,0.028076267,7.266271933,23.1,NaN,0.08123901,NaN,-0.004899978,0.000820375,NaN,NaN,NaN,D,5.972850679
NaN,2015XC352,1.014395583,0.145740495,4.485984528,25.7,NaN,0.024533789,NaN,-0.032911856,0.005557107,NaN,NaN,NaN,D,5.92248062
363599,2004FG11,1.587054923,0.723848378,3.127656088,21,NaN,0.152,0.003,-0.004239,0.00072,7.021,NaN,5,B,5.8875
0,1999UQ,1.094269848,0.016045805,24.8128605,21.8,NaN,NaN,NaN,-0.004485,0.000762,NaN,NaN,NaN,B,5.885826772
154590,2003MA3,1.10534704,0.402204789,1.412937838,21.7,NaN,0.086,0.002,-0.003711,0.000632,NaN,NaN,NaN,B,5.871835443
0,2003YL118,1.130047953,0.486207215,7.61215187,21.6,NaN,NaN,NaN,-0.009031,0.001539,NaN,NaN,NaN,B,5.868096166
