"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT"
2455176,"455176 (1999 VF22)",455176,,,Y,Y,20.73,,,,,,,,,,,,,,,,,,,"JPL 67",2459600.5,59600,20220121.0000000,J2000,.7384890005255259,1.31261938822411,.3432644081440597,3.908588401436094,3.398347410362324,271.8264139329661,308.1792122673726,2.28197436830416,.6553840257516819,2459679.569348193515,20220410.0693482,549.2962688358233,1.50389122200089,.034307,13.35125519,2.87631,4.640,9.7523E-8,6.9408E-10,1.2786E-7,6.4249E-6,5.5978E-5,4.9554E-5,3.3655E-6,1.2066E-9,5.1982E-10,5.0873E-6,4.3568E-7,APO,"Otto Matic",8140,1999-11-10,2022-02-22,376,5,1,0,.38768,,,-5.266139182316421E-14,,
2455184,"455184 (2000 ED14)",455184,,,Y,Y,21.23,,,,,,,,,,,,,,,,,,,"JPL 51",2459600.5,59600,20220121.0000000,J2000,.5666454730048441,.8349541926316577,.3618311792105143,13.77942101305512,3.875596345689242,310.121041525256,150.391714337251,1.308077206052801,1.291844079465194,2459484.083695023388,20210926.5836950,278.6714013884981,0.762960715642705,.0356198,13.862157566,4.02169,6.873,1.5377E-7,1.0987E-8,1.2699E-7,1.7644E-5,4.2509E-5,3.8195E-5,5.0746E-5,1.7212E-8,2.5498E-8,3.7246E-5,5.5003E-6,ATE,"Otto Matic",8008,2000-03-04,2022-02-05,164,0,1,0,.4267,,,6.184340795009106E-14,,
2465617,"465617 (2009 EK1)",465617,,,Y,Y,21.4,,,,,,,,,,,,,,,,,,,27,2459600.5,59600,20220121.0000000,J2000,.2290613777568871,1.240751232398273,.956543045651569,9.125767285623617,358.3926951184579,21.8611600306667,236.9456760308498,1.524959419144977,.7131436196834768,2459773.051952471743,20220712.5519525,504.8071525337115,1.38208665991434,.0310451,12.081821567,3.94442,5.132,1.9372E-7,1.9752E-8,2.3125E-7,8.6485E-6,4.6416E-5,5.7195E-5,3.2942E-5,2.4277E-8,1.703E-8,4.777E-5,1.2055E-5,APO,"Otto Matic",6615,2001-12-18,2020-01-28,75,,,0,.46897,,,-1.589068706297763E-13,,
2467351,"467351 (2003 KO2)",467351,,,Y,Y,20.36,,,,,,,,,,6.48,,,,,,,,,"JPL 82",2459600.5,59600,20220121.0000000,J2000,.5107794028294516,.7276341301311768,.3559736036644469,23.4933010908646,215.4714662877039,204.0293986298775,203.3201108557344,1.099294656597907,1.587941435654659,2459699.168556425490,20220429.6685564,226.7086127465294,0.620694353857712,.00185687,0.7226380979,4.27879,7.741,9.2074E-8,2.8267E-9,6.7754E-8,1.5061E-5,6.1001E-6,7.2074E-6,2.1837E-5,4.2706E-9,9.2533E-9,1.3864E-5,1.3211E-6,ATE,"Otto Matic",6603,2003-05-22,2021-06-19,424,,,0,.41267,,,3.10002908009925E-14,,
2468468,"468468 (2004 KH17)",468468,,,Y,Y,21.9,,,,,,,0.197,,0.072,,,,,,,,,0.011,54,2459600.5,59600,20220121.0000000,J2000,.4982834559462849,.7120809047081472,.3572627705968145,22.1229873508681,79.14478245451654,340.6987330037715,335.9740424312985,1.06689903881948,1.640250067074658,2459615.147740640884,20220204.6477406,219.4787290221242,0.600900011011976,.00274556,1.0684895852,4.26439,7.902,1.1433E-7,6.6356E-9,7.9314E-8,3.4518E-5,1.2075E-5,1.732E-5,5.1303E-5,9.942E-9,2.2927E-8,3.1366E-5,3.0679E-6,ATE,"Otto Matic",5473,2004-05-29,2019-05-24,213,1,0,0,.40228,,,-6.673076538999061E-14,,
2470975,"470975 (2009 SC15)",470975,,,Y,N,21.4,,,,,,,,,,10.354,,,,,,,,,66,2459600.5,59600,20220121.0000000,J2000,.1794623844330278,1.265646327516252,1.038510419731281,6.844979788949044,178.6318030006995,333.8441722032204,91.21539386709634,1.492782235301224,.6922062702376138,2459468.725126253501,20210911.2251263,520.0761904055314,1.42389100727045,.0557592,21.699807864,3.49272,5.075,1.4584E-8,1.2776E-8,2.4154E-8,4.0598E-6,1.5694E-5,2.163E-5,2.5151E-5,1.5069E-8,1.0481E-8,3.458E-5,7.8748E-6,AMO,"Otto Matic",6195,2002-11-06,2019-10-23,259,1,1,0,.37667,,,-1.233811179796203E-13,,
2474158,"474158 (1999 FA)",474158,,,Y,Y,20.64,,,,,,,,,,10.092,,,,,S,,,,58,2459600.5,59600,20220121.0000000,J2000,.1327661394851969,1.078217654077197,.9350668586205826,12.02947706496732,166.0880553562083,297.0092486325365,204.8914580382495,1.221368449533812,.8803277990689934,2459776.694074668309,20220716.1940747,408.9385799025369,1.11961281287484,.00621253,2.4177303001,3.8441,5.708,1.237E-7,1.735E-8,1.3948E-7,1.9703E-5,4.3374E-5,5.2624E-5,.00010131,1.9653E-8,2.1248E-8,.00011693,9.8705E-6,APO,"Otto Matic",13913,1978-10-10,2016-11-12,224,,,0,.36273,,,-7.641667892474666E-14,,
2474163,"474163 (1999 SO5)",474163,,,Y,Y,20.93,,,,,,,,,,1.38,,,,,,,,,76,2459600.5,59600,20220121.0000000,J2000,.06524375364123659,1.085885261159709,1.015038030697955,13.36580522657644,196.0703232492896,359.6535565703522,63.86288983867365,1.156732491621463,.8710200782666335,2459527.180347064142,20211108.6803471,413.3084976828721,1.13157699570944,.0147489,5.739829413,3.79558,5.679,6.2068E-8,1.5188E-8,6.6254E-8,8.3366E-6,1.1996E-5,8.3562E-5,.00011538,1.6179E-8,1.8275E-8,.00013104,8.6715E-6,APO,"Otto Matic",6333,1999-09-29,2017-01-30,261,,,0,.59786,,,-9.810538836768039E-14,,
2474179,"474179 (1999 VS6)",474179,,,Y,N,19.07,,,,,,,,,,15.88,,,,,,,,,87,2459600.5,59600,20220121.0000000,J2000,.2230588491469003,1.197629139741842,.9304873621262344,27.97114364434807,35.28628688489444,89.36302384846267,276.9566657628329,1.464770917357449,.752004678227815,2459710.929278755111,20220511.4292788,478.7204261127486,1.310665095449,.122228,47.56747076,3.70439,5.171,3.1675E-8,6.6334E-9,4.0663E-8,1.1285E-5,3.9223E-6,1.2823E-5,1.0993E-5,8.1131E-9,6.2478E-9,1.4978E-5,3.9773E-6,APO,"Otto Matic",7805,1999-11-06,2021-03-20,577,,,0,.38398,,,-4.207955772911317E-14,,
2477719,"477719 (2010 SG15)",477719,,,Y,N,25.2,,,,,,,,,,,,,,,,,,,33,2459600.5,59600,20220121.0000000,J2000,.4767557887437296,2.0788064929691,1.087723463768031,.8281419318218927,182.3032389177299,199.5084414236754,272.5072417914556,3.069889522170171,.3288387411220688,2459866.565847077507,20221014.0658471,1094.761519800259,2.99729368870707,.0912581,35.514914777,2.39265,3.614,2.6865E-8,8.478E-9,5.6857E-8,4.158E-6,9.0226E-5,9.6564E-5,1.0289E-5,1.252E-8,2.0117E-9,3.1715E-5,6.6972E-6,AMO,"Otto Matic",3284,2010-09-29,2019-09-26,104,,,0,.58718,,,-1.758063553860813E-13,,
