Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
350462,1998KG3,1.160326679,0.118226463,5.505183934,22.1,nan,nan,nan,13.335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002668,0.00041,6.51,-0.002657,0.000281,9.45
2062,Aten,0.966789832,0.182717134,18.93368681,17.1,nan,1.1,nan,42.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000589,6.8e-05,8.66,-0.000474,5.1e-05,9.25
1862,Apollo,1.470345437,0.55991674,6.35473161,16.25,nan,1.5,nan,3.065,nan,nan,48.0,-72.0,nan,nan,nan,nan,nan,nan,0.15,1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00018899999999999999,2.2e-05,8.59,-0.000194,2.1e-05,9.24
363599,2004FG11,1.587054923,0.723848378,3.127656088,21.0,nan,0.152,0.003,7.021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004239,0.00072,5.89,-0.003919,0.00043,9.11
NaN,2009OS5,1.148058733,0.099326155,1.710602073,24.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01305,0.001434,9.1
4179,Toutatis,2.545398025,0.624248642,0.44794907,15.2,nan,5.4,nan,176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,1.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000263,2.8999999999999997e-05,9.07,-0.000337,4.3e-05,7.91
330659,2008GG2,1.587104522,0.27762265,13.01572901,22.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002918,0.00098,2.98,0.003468,0.000383,9.05
33342,1998WT24,0.718454565,0.417938893,7.342580784,17.9,nan,0.432,0.028,3.697,nan,nan,1.0,10.0,nan,nan,nan,nan,nan,nan,0.19,0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001691,0.000246,6.87,-0.001532,0.00018,8.51
326290,Akhenaten,0.878936202,0.440248732,3.378735415,21.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00171,0.000201,8.51
NaN,2000EM26,0.817229365,0.466749472,3.844389296,22.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009582,0.001129,8.49
