Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
265482,2005EE,1.12903659,0.327719756,6.172856921,21.2,nan,nan,nan,2.653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004207,0.001102,3.82,nan,nan,nan
136818,Selqet,0.937513408,0.346365049,12.77858389,18.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001218,0.00032,3.81,nan,nan,nan
203471,2002AU4,0.855431312,0.373575213,17.18557333,19.4,nan,nan,nan,13.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.32,1.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001361,0.00075,1.81,-0.002488,0.000656,3.79
613286,2005YQ96,0.743420107,0.3335054,22.224618812,20.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002303,0.000612,3.77
425755,2011CP4,0.911466172,0.870276115,9.442594214,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009646,0.002565,3.76,0.009765,0.003172,3.08
483459,2002EM6,1.15974331,0.14133459,31.75869306,20.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001842,0.0007700000000000001,2.39,0.001592,0.000424,3.75
313276,2002AX1,0.879937577,0.541747165,33.000614465,19.76,nan,nan,nan,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002083,0.000556,3.74
446924,2002VV17,0.83749743,0.436562255,9.69906353,20.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0016,0.0006900000000000001,2.32,-0.001703,0.000457,3.72
526798,2007AA9,0.85820388,0.420445665,6.793129119,22.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006886,0.00359,1.92,-0.006536,0.001767,3.7
612358,2002JE9,1.066157452,0.416488215,8.77319152,21.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005352,0.001449,3.69
NaN,2003YS17,0.930233196,0.312918225,6.527856272,21.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004282,0.001166,3.67
322756,2001CK32,0.725005106,0.38257367,8.132537777,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001503,0.00143,1.05,-0.00136,0.000371,3.66
397326,2006TC1,1.720047328,0.375297305,4.495986271,18.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001268,0.000348,3.64,0.001044,0.000334,3.13
208023,1999AQ10,0.934278209,0.235674574,6.499040542,20.5,nan,nan,nan,2.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002066,0.0005679999999999999,3.64,nan,nan,nan
5604,1992FE,0.928586741,0.406006799,4.71535639,17.2,nan,0.55,nan,5.338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001268,0.000349,3.63,-0.001399,0.000425,3.29
325102,2008EY5,0.626200905,0.626816479,5.109238107,20.1,nan,0.361,0.006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004586,0.001272,3.61
350751,2002AW,1.070859162,0.256311603,0.574558774,20.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001821,0.000508,3.59
162783,2000YJ11,1.312940921,0.231885347,7.26321217,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004985,0.00165,3.02,-0.003437,0.000962,3.57
337252,2000SD8,1.128779366,0.313658605,6.547842354,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003276,0.0009199999999999999,3.56,nan,nan,nan
491007,2011GL62,1.140160559,0.706890524,15.693902194,19.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004747,0.001347,3.52
,1999SK10,1.764058112,0.441791998,6.960353016,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0018210000000000001,0.000685,2.66,-0.001872,0.000532,3.52
153814,2001WN5,1.711795519,0.467054914,1.919164872,18.3,nan,0.932,0.011,4.253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16,0.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0034100000000000003,0.0009699999999999999,3.52,nan,nan,nan
474163,1999SO5,1.085983525,0.065198774,13.36488476,20.9,nan,nan,nan,1.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0032689999999999998,0.001137,2.88,-0.004015,0.001145,3.51
153201,2000WO107,0.911517596,0.780703741,7.77028381,19.3,nan,0.51,0.083,nan,nan,5.022,nan,nan,nan,nan,nan,nan,nan,nan,1.02,1.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002437,0.0012699999999999999,1.92,-0.001826,0.000522,3.5
525268,2004XL14,0.759582737,0.410341659,21.462122197,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002702,0.000779,3.47
136582,1992BA,1.341778965,0.067828032,10.49794588,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0020399999999999997,0.00059,3.46,-0.00198,0.000614,3.23
523590,2001QC96,1.335660907,0.379604413,20.587124793,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003629,0.001055,3.44
37655,Illapa,1.477699446,0.7526713,18.0225122,17.8,nan,nan,nan,2.656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08,0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001167,0.00036,3.24,-0.000942,0.000274,3.44
NaN,2005QQ87,1.000977288,0.301712202,33.971198881,22.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004587,0.001335,3.44
251732,1998HG49,1.200521585,0.112461571,4.19507254,21.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004078,0.001204,3.39
357622,2005EY95,1.083617515,0.53826087,3.169398394,20.34,nan,nan,nan,3.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002743,0.000819,3.35
NaN,2000AH205,1.145774281,0.40628799,2.58216227,22.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00761,0.002275,3.35
526826,2007CA27,0.865678102,0.343692233,29.971286323,21.3,nan,nan,nan,nan,nan,17.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006484,0.001939,3.34
334412,2002EZ2,1.249178614,0.045991917,13.02436274,20.2,nan,nan,nan,nan,nan,34.077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001902,0.0007099999999999999,2.68,-0.001898,0.00057,3.33
163899,2003SD220,0.827399189,0.209758511,8.546672398,17.65,nan,0.7909999999999999,0.025,285.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.39,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00067,0.000202,3.33
2063,Bacchus,1.078099129,0.349507931,9.431132049,17.3,nan,1.024,0.02,14.904,nan,nan,24.0,-26.0,nan,nan,nan,nan,nan,nan,0.22,0.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000697,0.00021,3.32,nan,nan,nan
351545,2005TE15,1.204272697,0.34362463,13.12871914,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002673,0.0016699999999999998,1.6,-0.002485,0.000752,3.3
344074,1997UH9,0.8300224,0.474726405,25.49024423,18.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032340000000000003,0.00098,3.3,nan,nan,nan
7341,1991VK,1.842120155,0.506593138,5.419121587,16.7,nan,0.982,0.316,4.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21,0.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000254,7.7e-05,3.3,-0.000227,7.7e-05,2.97
162694,2000UH11,0.870288255,0.422375527,32.22543872,19.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003062,0.00093,3.29,nan,nan,nan
NaN,2003MS2,1.042144273,0.126297332,20.025910127,21.21,nan,nan,nan,7.0,nan,nan,20.0,nan,200.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002751,0.000837,3.29
NaN,2016GE1,2.06340773,0.520324596,10.727661301,26.7,nan,nan,nan,0.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.058329,0.017748,3.29
25143,Itokawa,1.324113867,0.280145437,1.621262666,19.0,nan,0.33,nan,12.132,nan,nan,320.0,-75.0,nan,nan,nan,nan,nan,nan,0.69,1.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001111,0.000338,3.28
85770,1998UP1,0.998098024,0.345187688,33.17889423,20.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001656,0.00056,2.96,-0.002391,0.000729,3.28
NaN,2007US12,0.90613355,0.514613075,8.803723553,22.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006988,0.002137,3.27
450300,2004QD14,0.941698603,0.337847261,6.24818793,20.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005761,0.0017649999999999999,3.26,nan,nan,nan
NaN,2016UW80,1.164345188,0.16934806,12.987774883,23.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008165,0.002505,3.26
396593,2001HC,0.874590887,0.499347474,23.73709959,19.0,nan,nan,nan,3.188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013859999999999999,0.0005,2.77,0.001698,0.000523,3.25
1620,Geographos,1.245666864,0.335454802,13.33704335,15.3,nan,2.56,0.15,5.222,nan,nan,58.0,-49.0,nan,nan,nan,nan,nan,nan,0.95,2.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.8e-05,5e-05,1.36,-0.000134,4.1e-05,3.23
NaN,2014QL390,2.084854039,0.402521045,3.589340275,22.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005315,0.00165,3.22
138947,2001BA40,1.118836741,0.253681132,12.844873993,18.82,nan,0.447,0.124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001817,0.000568,3.2
277810,2006FV35,1.001450555,0.377514934,7.10403227,21.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002079,0.000654,3.18
NaN,2016AG193,1.310642905,0.197000065,28.801436434,23.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011093,0.003494,3.17
162080,1998DG16,0.896673826,0.358173203,16.20746445,19.9,nan,0.777,0.063,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0019510000000000003,0.000661,2.95,-0.001416,0.000448,3.16
152664,1998FW4,2.526204728,0.713734939,3.422889297,19.68,nan,nan,nan,17.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34,0.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001031,0.000326,3.16
22753,1998WT,1.218981558,0.569823656,3.204224716,17.69,nan,nan,nan,10.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001035,0.000328,3.15
474179,1999VS6,1.19762914,0.223058849,27.971143644,19.07,nan,nan,nan,15.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33,0.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001718,0.000547,3.14
252399,2001TX44,0.874751114,0.545900953,15.20983287,19.4,nan,0.291,0.069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0036799999999999997,0.00118,3.12,nan,nan,nan
NaN,2003FF5,1.369642487,0.30388553,6.338277568,23.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002857,0.000917,3.12
465617,2009EK1,1.240751232,0.229061378,9.125767286,21.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006394,0.002055,3.11
470975,2009SC15,1.265646328,0.179462384,6.844979789,21.4,nan,nan,nan,10.354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004812,0.001555,3.1
417210,2005XV77,0.784217219,0.414239402,16.848471296,20.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001653,0.000537,3.08
234341,2001FZ57,0.944172907,0.604274631,20.669379111,18.93,nan,0.344,0.055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001918,0.000623,3.08
NaN,2012BA35,1.070655598,0.115932702,5.806361687,23.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006062,0.001984,3.05
NaN,2003MK4,1.080299387,0.181203839,22.316778885,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003382,0.00112,3.02
358453,2007EH88,1.122688534,0.441190679,12.09113767,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005007999999999999,0.0016600000000000002,3.02,nan,nan,nan
162142,1998VR,0.875465525,0.317876263,21.80617545,18.7,nan,0.462,0.172,8.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009050000000000001,0.0003,3.02,nan,nan,nan
253062,2002TC70,1.368525806,0.19645119,2.147494344,21.0,nan,nan,nan,26.273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002723,0.0009400000000000001,2.9,nan,nan,nan
,2002LY1,0.955446766,0.378573002,2.894486551,22.3,nan,nan,nan,3.204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008431000000000001,0.00293,2.88,nan,nan,nan
6456,Golombek,2.192896066,0.409329638,8.225273048,15.9,nan,nan,nan,2.501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.14,22.95,0.49,21.5,0.05,20.95,0.05,20.66,0.04,20.66,0.17,-0.001408,0.00049,2.87,nan,nan,nan
215588,2003HF2,1.113852743,0.67539531,3.055259379,19.4,nan,0.488,0.158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005853,0.002043,2.86,nan,nan,nan
54509,YORP,1.00004188,0.229915281,1.833144652,22.7,nan,nan,nan,0.203,nan,nan,180.0,-85.0,nan,nan,nan,nan,nan,nan,0.77,0.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0033450000000000003,0.00134,2.5,-0.003924,0.001376,2.85
31221,1998BP26,1.723132973,0.257018463,20.22066397,17.2,nan,nan,nan,2.407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0017059999999999998,0.00061,2.8,nan,nan,nan
7753,1988XB,1.467029915,0.481667628,3.124607222,17.96,nan,nan,nan,42.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000474,0.000172,2.76
,2007PB8,0.880441417,0.44515435,16.55976889,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009077,0.0033009999999999997,2.75,nan,nan,nan
398188,Agni,0.864331206,0.273453965,13.2491076,19.4,nan,0.462,0.006,21.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002874,0.00106,2.71,nan,nan,nan
137125,1999CT3,1.426780971,0.131875129,34.23635275,18.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005644,0.00209,2.7,nan,nan,nan
175706,1996FG3,1.053809166,0.34971208,1.99121027,18.4,nan,1.196,0.362,3.594,nan,nan,242.0,-84.0,nan,nan,nan,nan,nan,nan,0.04,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0013130000000000001,0.00056,2.34,-0.000945,0.000352,2.69
412976,1987WC,1.362269935,0.233861332,15.8447325,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003295,0.00123,2.68,nan,nan,nan
338292,2002UA31,0.798774305,0.487100765,30.70385158,19.0,nan,nan,nan,nan,nan,2.556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002229,0.00084,2.65,nan,nan,nan
192563,1998WZ6,1.452173519,0.407792729,24.75523032,17.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002006,0.0007599999999999999,2.64,nan,nan,nan
65803,Didymos,1.644206918,0.383848223,3.407952386,18.07,nan,0.78,0.08,2.259,nan,nan,310.0,-84.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000732,0.000281,2.61
136993,1998ST49,2.308493345,0.59524774,24.48193391,17.7,nan,nan,nan,2.302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026079999999999996,0.00101,2.58,nan,nan,nan
137084,1998XS16,1.212305446,0.496623874,26.5567416,16.4,nan,1.228,0.035,5.419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001779,0.0007,2.54,nan,nan,nan
267940,2004EM20,1.105421265,0.524043589,14.13723185,20.3,nan,nan,nan,2.419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002561,0.00101,2.54,nan,nan,nan
503941,2003UV11,1.453425579,0.762899417,5.92435159,19.5,nan,0.26,0.003,18.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27,0.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000562,0.00022200000000000003,2.53,nan,nan,nan
471240,2011BT15,1.292908747,0.302464377,1.661416538,21.7,nan,nan,nan,0.109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008055,0.0031850000000000003,2.53,nan,nan,nan
,1994CJ1,1.490422858,0.325430327,2.307350044,21.4,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005386999999999999,0.0021449999999999998,2.51,nan,nan,nan
523934,1998FF14,1.253378772,0.312418272,38.68975887,20.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001772,0.0007099999999999999,2.5,nan,nan,nan
5131,1990BG,1.486128269,0.569153934,36.43079053,14.8,nan,nan,nan,37.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001621,0.00065,2.49,nan,nan,nan
65690,1991DG,1.427857347,0.363247427,11.14295271,19.0,nan,nan,nan,7.112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0032450000000000005,0.00131,2.48,nan,nan,nan
437846,1999RJ27,1.478870002,0.352336386,25.77877054,19.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006034,0.00244,2.47,nan,nan,nan
217628,Lugh,2.551430359,0.705030147,4.039078197,16.6,nan,1.4,nan,8.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009709,0.004,2.43,nan,nan,nan
162463,2000JH5,1.145652704,0.238200634,22.21562101,17.7,nan,1.048,0.079,3.024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002809,0.00116,2.42,nan,nan,nan
162173,Ryugu,1.189679559,0.190301168,5.881928034,19.3,nan,nan,nan,7.627,nan,7.625,179.3,-87.4,nan,nan,nan,nan,nan,nan,0.1,0.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001599,0.00067,2.39,-0.000711,0.000404,1.76
NaN,2010VK139,0.779873091,0.282180367,26.957977498,23.71,nan,0.055,0.01,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005111,0.002153,2.37
252558,2001WT1,1.089212044,0.397150002,7.163965699,20.2,nan,0.533,0.028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003423,0.00146,2.34,nan,nan,nan
NaN,2011WN15,1.216794569,0.857929949,33.43591642,19.6,nan,nan,nan,2.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15,0.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002921,0.001251,2.34
469737,2005NW44,0.779295296,0.483326727,6.073320646,20.4,nan,nan,nan,31.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001534,0.00066,2.32,nan,nan,nan
162082,1998HL1,1.246298027,0.187044121,20.05199631,19.1,nan,nan,nan,11.786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0012439999999999999,0.00054,2.3,nan,nan,nan
